Nome;Sobrenome;Cidade;Estado;Data_Nascimento;Empresa;Estado_Civil;Salario
Graiden;Patel;Piracicaba;SP;01/07/75;Marketing;Divorciado;R$6,733
Ira;Brown;Joinville;Santa Catarina;03/10/49;Gerenciamento;Viúvo;R$9,406
Bevis;Glass;Juazeiro;BA;02/08/18;Marketing;Casado;R$8,657
Vielka;Mueller;Campinas;São Paulo;18/12/58;Pesquisa e Desenvolvimento;Solteiro;R$7,005
May;Stark;Juazeiro;Bahia;15/06/55;Financeiro;Viúvo;R$8,158
Mark;Kerr;Piracicaba;São Paulo;19/01/36;Serviço ao Cliente;Casado;R$5,450
Grant;Glenn;Santarém;Pará;17/06/68;Jurídico;Divorciado;R$7,286
Clark;Tucker;Mogi das Cruzes;São Paulo;20/03/77;Recursos Humanos;Casado;R$7,690
Hedy;Christian;Rio de Janeiro;RJ;28/02/12;Vendas;Solteiro;R$8,291
Wang;Peterson;Vitória da Conquista;BA;12/12/07;Relações Públicas;Divorciado;R$6,542
Uriah;Hendrix;Cajazeiras;PB;05/04/18;Gerenciamento;Casado;R$7,759
Harding;Vazquez;Timon;Maranhão;17/01/56;Serviço ao Cliente;Viúvo;R$5,100
Malcolm;Cooley;Divinópolis;MG;28/02/59;Serviço ao Cliente;Viúvo;R$9,997
Donovan;Potter;Barra do Corda;MA;27/05/19;Relações Públicas;Solteiro;R$6,271
Bernard;Hardin;Campinas;São Paulo;11/01/44;Pesquisa e Desenvolvimento;Solteiro;R$7,497
Dai;Tillman;Criciúma;SC;21/09/70;Gerenciamento;Solteiro;R$6,893
Drake;Carson;Campinas;SP;24/12/48;Financeiro;Viúvo;R$8,984
Rhonda;Cook;São Gonçalo;Rio de Janeiro;17/01/13;Vendas;Casado;R$8,884
Meghan;Frye;Mogi das Cruzes;SP;25/05/77;Relações Públicas;Viúvo;R$6,099
Vivian;Savage;Salvador;Bahia;20/03/36;Serviço ao Cliente;Casado;R$7,739
Hamish;Saunders;Mogi das Cruzes;SP;18/02/54;Pesquisa e Desenvolvimento;Solteiro;R$8,545
Ava;Gomez;Paulista;PE;06/05/59;Recursos Humanos;Viúvo;R$9,428
Leilani;Coffey;Santarém;Pará;06/03/84;Relações Públicas;Viúvo;R$8,941
Sage;Romero;Balsas;Maranhão;18/06/33;Financeiro;Divorciado;R$8,441
Erasmus;Mcconnell;Sete Lagoas;MG;22/05/54;Recursos Humanos;Divorciado;R$7,409
Caleb;Conway;Ribeirão das Neves;MG;06/11/32;Pesquisa e Desenvolvimento;Casado;R$5,385
Megan;Chandler;Guarulhos;SP;26/07/12;Recursos Humanos;Solteiro;R$7,073
Travis;Shaw;Juiz de Fora;MG;25/06/06;Marketing;Divorciado;R$9,290
Zephania;Powell;Anápolis;GO;15/11/50;Gerenciamento;Viúvo;R$9,329
Wyatt;Yates;Mogi das Cruzes;SP;21/04/09;Gerenciamento;Viúvo;R$7,736
Jared;Austin;Maracanaú;CE;06/06/52;Serviço ao Cliente;Viúvo;R$5,996
Abigail;Kane;Carapicuíba;São Paulo;25/12/43;Vendas;Solteiro;R$6,760
Jamal;Fitzgerald;Santa Maria;Rio Grande do Sul;26/04/60;Marketing;Divorciado;R$5,980
Marny;Mendoza;Piracicaba;SP;24/11/40;Recursos Humanos;Divorciado;R$8,274
Holmes;Kramer;Carapicuíba;SP;08/03/76;Gerenciamento;Viúvo;R$7,391
Denise;Whitehead;Carapicuíba;SP;08/11/06;Recursos Humanos;Divorciado;R$8,523
Pandora;Woodward;São Luís;Maranhão;23/07/90;Gerenciamento;Casado;R$9,077
Grant;Huff;Carapicuíba;São Paulo;26/08/05;Pesquisa e Desenvolvimento;Solteiro;R$5,908
Castor;Mays;Piracicaba;SP;30/07/80;Gerenciamento;Solteiro;R$7,759
Ezekiel;Walter;Blumenau;Santa Catarina;06/09/63;Marketing;Solteiro;R$8,682
Xyla;Page;Contagem;MG;30/05/38;Relações Públicas;Casado;R$7,435
Leo;Black;Ribeirão Preto;São Paulo;21/02/69;Jurídico;Divorciado;R$5,438
Barclay;Gibbs;Bacabal;MA;12/07/62;Jurídico;Divorciado;R$8,521
Abbot;Santos;Mauá;SP;21/08/58;Pesquisa e Desenvolvimento;Solteiro;R$5,292
Mercedes;Rose;Mauá;São Paulo;12/10/54;Gerenciamento;Viúvo;R$5,973
Haley;Chaney;Uberlândia;Minas Gerais;20/05/13;Financeiro;Solteiro;R$8,744
Halla;Perry;Osasco;São Paulo;12/05/78;Vendas;Viúvo;R$9,219
Jennifer;Alvarado;Contagem;Minas Gerais;21/03/37;Marketing;Casado;R$9,604
Yetta;Yates;Uberaba;MG;26/08/39;Jurídico;Casado;R$6,871
Carl;Hodges;Nova Iguaçu;RJ;05/09/82;Recursos Humanos;Divorciado;R$8,657
Leila;Schultz;Chapecó;Santa Catarina;25/08/52;Suporte Técnico;Casado;R$9,092
Cora;Spencer;Carapicuíba;SP;27/01/51;Financeiro;Solteiro;R$5,359
Remedios;Wise;Cametá;Pará;16/09/94;Vendas;Solteiro;R$6,921
Irene;Maynard;Ilhéus;Bahia;05/12/37;Serviço ao Cliente;Casado;R$6,496
Jessica;Clayton;Diadema;São Paulo;02/04/93;Pesquisa e Desenvolvimento;Casado;R$8,769
Avye;Farmer;Bacabal;Maranhão;31/01/56;Pesquisa e Desenvolvimento;Casado;R$7,097
Ivana;Conway;Guarulhos;São Paulo;04/11/34;Suporte Técnico;Solteiro;R$6,502
Keane;Zamora;Barra do Corda;MA;23/12/97;Vendas;Divorciado;R$6,983
Lael;Potter;Vitória da Conquista;Bahia;10/09/07;Serviço ao Cliente;Casado;R$7,650
Felicia;Walters;Rio Grande;RS;17/05/62;Vendas;Casado;R$9,555
Quin;Vega;Maringá;PR;05/03/44;Marketing;Solteiro;R$7,307
Ruby;Hernandez;Camaragibe;PE;19/12/79;Marketing;Divorciado;R$5,301
Forrest;Alston;Uberlândia;Minas Gerais;30/03/97;Pesquisa e Desenvolvimento;Casado;R$9,433
Fletcher;Drake;Sete Lagoas;MG;09/09/74;Relações Públicas;Solteiro;R$6,685
Anthony;Lowe;Osasco;SP;28/06/85;Gerenciamento;Viúvo;R$6,279
Ivor;Hobbs;Mogi das Cruzes;SP;25/02/31;Recursos Humanos;Divorciado;R$7,857
Yolanda;Mckee;Anápolis;Goiás;07/08/91;Relações Públicas;Viúvo;R$7,636
Brendan;Kirkland;Mogi das Cruzes;SP;21/12/80;Jurídico;Casado;R$7,025
Dalton;Hogan;Rio de Janeiro;Rio de Janeiro;04/02/33;Marketing;Divorciado;R$8,326
Felicia;Hall;Parauapebas;PA;28/10/31;Relações Públicas;Casado;R$5,038
Deacon;Leblanc;Jundiaí;SP;20/04/85;Vendas;Divorciado;R$8,209
Wade;Lancaster;Ponta Grossa;Paraná;16/10/83;Recursos Humanos;Solteiro;R$8,037
Emma;Simmons;Balsas;MA;27/08/59;Suporte Técnico;Divorciado;R$9,762
Hadassah;Ratliff;Ribeirão das Neves;MG;21/06/39;Jurídico;Casado;R$9,199
Vance;Hicks;São João de Meriti;Rio de Janeiro;01/09/30;Gerenciamento;Viúvo;R$5,113
Camden;Ewing;Canoas;Rio Grande do Sul;20/09/15;Recursos Humanos;Casado;R$9,787
Mikayla;Eaton;Belford Roxo;RJ;05/11/35;Recursos Humanos;Viúvo;R$5,800
Faith;Clements;Belo Horizonte;MG;07/09/78;Pesquisa e Desenvolvimento;Solteiro;R$6,505
Noble;Matthews;São José dos Pinhais;PR;19/01/65;Pesquisa e Desenvolvimento;Solteiro;R$6,361
Jasper;Hubbard;Maringá;PR;05/06/92;Vendas;Divorciado;R$6,956
Edward;Ingram;Governador Valadares;MG;18/02/41;Pesquisa e Desenvolvimento;Solteiro;R$7,332
Alyssa;Estrada;Feira de Santana;Bahia;01/02/34;Serviço ao Cliente;Viúvo;R$7,696
Graiden;Sawyer;Maranguape;CE;17/08/01;Recursos Humanos;Casado;R$9,681
Dakota;Lane;Mogi das Cruzes;São Paulo;21/11/49;Relações Públicas;Divorciado;R$9,111
Hashim;Griffith;Belford Roxo;RJ;24/10/07;Pesquisa e Desenvolvimento;Divorciado;R$5,707
Aphrodite;Singleton;Campinas;SP;13/05/35;Marketing;Divorciado;R$8,497
Hunter;Haynes;Guarapuava;PR;22/09/95;Jurídico;Solteiro;R$5,407
Adena;Shelton;Mauá;São Paulo;04/11/08;Relações Públicas;Viúvo;R$9,203
Rinah;Gaines;Ananindeua;PA;01/09/73;Marketing;Divorciado;R$7,702
Barry;Charles;Anápolis;GO;13/05/47;Gerenciamento;Solteiro;R$5,666
Jacqueline;Fisher;Bacabal;MA;09/08/82;Serviço ao Cliente;Solteiro;R$7,532
Igor;Pate;Ribeirão das Neves;Minas Gerais;12/03/34;Financeiro;Solteiro;R$7,142
Ursa;Nieves;Betim;MG;02/12/80;Suporte Técnico;Divorciado;R$7,127
Celeste;Bird;Jundiaí;SP;07/06/58;Pesquisa e Desenvolvimento;Casado;R$8,393
Zena;Underwood;Fortaleza;CE;30/04/54;Marketing;Solteiro;R$9,575
Shoshana;Suarez;Osasco;SP;24/12/59;Suporte Técnico;Divorciado;R$8,967
Kendall;Castaneda;Barra do Corda;Maranhão;30/05/51;Recursos Humanos;Viúvo;R$8,951
Darrel;Jimenez;Curitiba;Paraná;20/04/54;Marketing;Viúvo;R$8,636
Carter;Barrera;Paulista;Pernambuco;01/01/04;Relações Públicas;Divorciado;R$5,274
Paki;Mcmillan;Açailândia;MA;31/07/60;Financeiro;Casado;R$9,418
Karen;Watts;Recife;Pernambuco;31/12/46;Financeiro;Solteiro;R$6,894
Uriah;Conway;Bacabal;MA;09/02/35;Pesquisa e Desenvolvimento;Casado;R$6,328
Dorothy;Salazar;Jundiaí;SP;02/10/47;Marketing;Solteiro;R$7,634
Caleb;Bell;Guarapuava;Paraná;23/06/50;Gerenciamento;Viúvo;R$5,473
Cynthia;Robles;Feira de Santana;Bahia;18/10/51;Suporte Técnico;Casado;R$6,436
Bruce;Garza;Paulista;Pernambuco;13/11/44;Gerenciamento;Viúvo;R$8,875
Martha;Vargas;Cascavel;Paraná;24/04/02;Marketing;Divorciado;R$8,714
Kaye;Larsen;Montes Claros;MG;05/11/42;Gerenciamento;Viúvo;R$8,737
George;Whitley;Ribeirão Preto;São Paulo;15/11/95;Relações Públicas;Viúvo;R$9,460
Miriam;Fisher;Ponta Grossa;Paraná;01/02/76;Vendas;Viúvo;R$8,922
Clayton;Morton;Sete Lagoas;Minas Gerais;19/02/02;Suporte Técnico;Viúvo;R$7,799
Isabella;Anderson;Osasco;SP;19/10/03;Vendas;Viúvo;R$6,445
Ignacia;Santos;Vitória da Conquista;BA;23/06/62;Recursos Humanos;Solteiro;R$5,677
Samuel;Schroeder;Ribeirão Preto;São Paulo;07/08/18;Financeiro;Casado;R$5,894
Lacey;Gregory;Castanhal;Pará;20/08/56;Financeiro;Viúvo;R$7,400
Vaughan;Wall;Mogi das Cruzes;São Paulo;23/02/45;Recursos Humanos;Divorciado;R$8,671
Dalton;Howell;Campinas;SP;07/11/88;Gerenciamento;Solteiro;R$8,540
Daria;Mcclain;Niterói;RJ;28/11/60;Financeiro;Viúvo;R$5,515
Brooke;Mendoza;Canoas;RS;25/05/61;Recursos Humanos;Viúvo;R$7,904
Eden;Keller;Osasco;SP;08/05/59;Suporte Técnico;Divorciado;R$7,718
Wing;Hardy;Bayeux;Paraíba;03/06/58;Serviço ao Cliente;Divorciado;R$6,236
Victor;Bird;Santa Rita;PB;08/12/77;Jurídico;Viúvo;R$8,136
Howard;Oneil;Campina Grande;PB;01/09/02;Suporte Técnico;Casado;R$8,179
Caryn;Blanchard;Lauro de Freitas;Bahia;12/05/58;Marketing;Viúvo;R$5,767
Chadwick;Logan;Governador Valadares;MG;03/12/17;Suporte Técnico;Divorciado;R$9,821
Hilary;Moon;Castanhal;PA;02/08/79;Pesquisa e Desenvolvimento;Viúvo;R$5,213
Wilma;Kent;Marabá;Pará;12/11/81;Relações Públicas;Solteiro;R$9,305
Malik;Alexander;São Gonçalo;RJ;21/12/48;Relações Públicas;Viúvo;R$6,951
Octavia;Christian;Itabuna;BA;29/05/84;Relações Públicas;Solteiro;R$7,584
Kelsey;Hull;Nova Iguaçu;RJ;11/01/66;Relações Públicas;Divorciado;R$9,548
Adam;Gregory;Bragança;PA;17/05/85;Suporte Técnico;Casado;R$6,499
Cedric;Tyler;Paranaguá;Paraná;11/08/61;Relações Públicas;Divorciado;R$5,837
Brett;Salinas;Montes Claros;MG;26/02/44;Pesquisa e Desenvolvimento;Casado;R$6,930
Adrian;Haney;Diadema;SP;17/09/07;Gerenciamento;Viúvo;R$5,930
Amena;Booker;Porto Alegre;RS;09/11/76;Serviço ao Cliente;Casado;R$6,040
Anjolie;Boyd;Ribeirão Preto;São Paulo;07/06/05;Jurídico;Viúvo;R$6,662
Yasir;Newman;Rio de Janeiro;RJ;06/05/35;Relações Públicas;Divorciado;R$8,402
Jordan;Burch;Imperatriz;Maranhão;06/09/17;Pesquisa e Desenvolvimento;Viúvo;R$9,755
Keely;Huber;Campos dos Goytacazes;RJ;09/06/71;Vendas;Divorciado;R$5,214
Nicole;Patton;Diadema;São Paulo;29/07/57;Gerenciamento;Casado;R$5,158
Ulric;Randolph;Marabá;Pará;30/01/07;Recursos Humanos;Solteiro;R$9,442
Hop;Bennett;Bragança;PA;02/02/54;Gerenciamento;Solteiro;R$7,446
Donovan;Branch;Sobral;CE;20/03/90;Jurídico;Casado;R$5,971
Nash;Payne;Paulista;PE;19/05/32;Serviço ao Cliente;Divorciado;R$8,832
Isabella;Clarke;Carapicuíba;São Paulo;29/04/54;Gerenciamento;Divorciado;R$8,823
Vaughan;Hunt;Jundiaí;São Paulo;15/04/30;Vendas;Divorciado;R$9,264
Britanney;Kemp;Vitória da Conquista;BA;07/05/37;Financeiro;Divorciado;R$7,493
Shafira;Zamora;Osasco;SP;14/10/88;Pesquisa e Desenvolvimento;Solteiro;R$8,069
Wynter;Donaldson;Lauro de Freitas;BA;26/01/42;Serviço ao Cliente;Solteiro;R$9,038
Holly;Estrada;Jundiaí;SP;28/09/98;Vendas;Divorciado;R$7,187
Demetrius;Riddle;Diadema;SP;02/08/69;Recursos Humanos;Divorciado;R$5,524
Freya;Dixon;Vitória da Conquista;BA;27/01/13;Serviço ao Cliente;Divorciado;R$9,807
Flynn;Page;Mogi das Cruzes;SP;02/04/41;Financeiro;Casado;R$7,360
Dieter;Duke;Paço do Lumiar;Maranhão;29/07/75;Relações Públicas;Viúvo;R$6,060
Uriel;Webster;Mauá;São Paulo;27/04/02;Vendas;Solteiro;R$5,851
Colby;Mendez;Paranaguá;Paraná;15/06/36;Relações Públicas;Viúvo;R$7,763
Kenyon;Schultz;Camaçari;BA;20/10/03;Vendas;Solteiro;R$8,369
Simon;Gates;Sobral;Ceará;24/08/68;Relações Públicas;Casado;R$9,567
Finn;Miller;São João de Meriti;RJ;01/11/87;Serviço ao Cliente;Casado;R$5,909
Montana;Prince;Itapipoca;CE;08/07/61;Pesquisa e Desenvolvimento;Solteiro;R$8,985
Scarlett;Oneill;Governador Valadares;Minas Gerais;12/06/72;Pesquisa e Desenvolvimento;Casado;R$5,697
Kane;Stewart;Goiânia;GO;14/02/82;Jurídico;Casado;R$5,809
Lacey;Mclean;Itajaí;Santa Catarina;16/08/88;Suporte Técnico;Viúvo;R$8,780
Nell;Herrera;Aparecida de Goiânia;Goiás;17/12/37;Marketing;Divorciado;R$5,883
Hayley;Santos;Codó;MA;09/08/87;Jurídico;Divorciado;R$8,841
Hyatt;Larson;Gravataí;RS;01/04/37;Gerenciamento;Divorciado;R$7,809
Yen;Crawford;Ilhéus;Bahia;22/06/01;Suporte Técnico;Viúvo;R$5,611
Lavinia;Ortega;Mogi das Cruzes;São Paulo;28/04/45;Relações Públicas;Solteiro;R$7,872
Gay;Greer;Nova Iguaçu;RJ;19/09/34;Relações Públicas;Viúvo;R$6,910
Zane;Mason;Diadema;SP;16/06/48;Relações Públicas;Viúvo;R$6,385
Maisie;Pugh;Novo Hamburgo;RS;30/06/69;Marketing;Viúvo;R$9,024
Kaseem;Rocha;Londrina;Paraná;14/08/71;Relações Públicas;Casado;R$5,482
Carissa;Kline;Belford Roxo;Rio de Janeiro;20/11/42;Gerenciamento;Divorciado;R$9,199
Barry;Reese;Feira de Santana;Bahia;10/08/05;Relações Públicas;Casado;R$6,588
Keelie;Brown;Lauro de Freitas;Bahia;14/06/51;Vendas;Divorciado;R$7,461
Lev;Hatfield;Itabuna;BA;05/08/05;Gerenciamento;Casado;R$7,719
Tate;Floyd;Aparecida de Goiânia;GO;05/08/57;Marketing;Solteiro;R$7,519
Xandra;Perry;Petrópolis;Rio de Janeiro;01/01/84;Marketing;Solteiro;R$6,348
Addison;Mccarty;Itabuna;BA;11/03/65;Relações Públicas;Solteiro;R$7,030
September;Shelton;Maracanaú;Ceará;11/05/75;Vendas;Solteiro;R$9,040
Vernon;Shannon;Campos dos Goytacazes;Rio de Janeiro;10/11/44;Financeiro;Viúvo;R$8,206
Abraham;Stuart;Caxias do Sul;RS;21/09/86;Gerenciamento;Casado;R$6,881
Ryder;Calhoun;Rio de Janeiro;RJ;05/07/15;Gerenciamento;Viúvo;R$5,766
Moses;Rush;Gravataí;RS;30/09/13;Serviço ao Cliente;Viúvo;R$8,285
Melvin;Slater;Mauá;São Paulo;12/02/18;Suporte Técnico;Viúvo;R$5,575
Dakota;Spence;Niterói;RJ;11/04/04;Financeiro;Viúvo;R$9,487
Lucas;Price;Nova Iguaçu;Rio de Janeiro;13/07/05;Recursos Humanos;Casado;R$8,983
Abraham;Snider;Cametá;Pará;24/03/73;Pesquisa e Desenvolvimento;Casado;R$6,192
Minerva;Larsen;Campinas;SP;13/08/62;Gerenciamento;Solteiro;R$5,885
Dahlia;Keith;Juiz de Fora;MG;13/08/86;Relações Públicas;Casado;R$6,965
Sage;Sims;Paulista;Pernambuco;04/11/72;Suporte Técnico;Divorciado;R$8,034
Gretchen;Shaffer;Itabuna;Bahia;16/08/78;Vendas;Casado;R$6,561
Zelenia;Mcmillan;Londrina;Paraná;25/12/02;Suporte Técnico;Solteiro;R$8,454
Arsenio;Schroeder;Itabuna;Bahia;10/05/31;Relações Públicas;Viúvo;R$9,994
Nita;Pope;Gravataí;RS;07/01/58;Vendas;Casado;R$8,700
Florence;Rowe;Mogi das Cruzes;SP;03/01/31;Relações Públicas;Divorciado;R$7,045
Zenaida;Mcgowan;Rio de Janeiro;Rio de Janeiro;13/11/83;Relações Públicas;Viúvo;R$7,208
Nathaniel;Valencia;Osasco;São Paulo;01/01/42;Marketing;Solteiro;R$8,837
Herrod;Terrell;Campinas;SP;10/09/99;Gerenciamento;Viúvo;R$7,534
Velma;Mccarthy;Camaragibe;PE;09/06/63;Financeiro;Viúvo;R$5,347
Garth;Munoz;Mauá;São Paulo;20/02/32;Pesquisa e Desenvolvimento;Solteiro;R$8,407
Velma;Stanley;Divinópolis;Minas Gerais;10/02/30;Suporte Técnico;Casado;R$6,740
Rhonda;West;Cabo de Santo Agostinho;PE;09/10/63;Serviço ao Cliente;Divorciado;R$8,340
Christian;Hays;Guarulhos;São Paulo;14/06/87;Vendas;Viúvo;R$8,177
Isabelle;Hunter;Valparaíso de Goiás;Goiás;15/06/89;Financeiro;Divorciado;R$6,155
Kaitlin;Floyd;Valparaíso de Goiás;Goiás;07/08/75;Marketing;Divorciado;R$6,433
Phelan;Hunter;Guarulhos;SP;02/08/41;Vendas;Solteiro;R$5,835
Germane;Townsend;Diadema;SP;05/11/05;Recursos Humanos;Casado;R$8,176
Freya;Jackson;Juazeiro do Norte;CE;13/03/10;Vendas;Solteiro;R$6,297
Claire;Molina;Mogi das Cruzes;SP;29/10/99;Recursos Humanos;Divorciado;R$7,602
Cyrus;Mosley;Mogi das Cruzes;São Paulo;06/05/03;Marketing;Viúvo;R$7,875
Norman;Mccormick;Joinville;SC;01/02/90;Jurídico;Solteiro;R$9,832
Orla;Sparks;Sobral;CE;01/11/81;Pesquisa e Desenvolvimento;Viúvo;R$8,599
Heidi;Chan;Divinópolis;MG;08/12/11;Financeiro;Viúvo;R$6,407
Ruby;Woods;Jundiaí;SP;03/01/83;Financeiro;Divorciado;R$9,443
Vincent;Buchanan;Caxias do Sul;RS;10/05/96;Recursos Humanos;Divorciado;R$5,172
Ignacia;Mccormick;Uberaba;MG;05/12/38;Vendas;Casado;R$9,569
Dustin;Barton;Juiz de Fora;Minas Gerais;16/07/91;Relações Públicas;Divorciado;R$7,230
Elton;Vinson;Recife;PE;03/10/73;Vendas;Viúvo;R$6,977
Morgan;Mcdowell;Diadema;São Paulo;04/12/08;Recursos Humanos;Casado;R$9,584
Oscar;Diaz;Lauro de Freitas;Bahia;07/08/66;Suporte Técnico;Divorciado;R$9,660
Tyler;Flowers;Rio Grande;RS;19/02/92;Jurídico;Casado;R$5,400
Stella;Thomas;Mauá;São Paulo;07/02/34;Pesquisa e Desenvolvimento;Viúvo;R$7,790
Barclay;Sawyer;Bacabal;MA;21/07/83;Relações Públicas;Solteiro;R$9,024
Rigel;Kinney;Piracicaba;SP;22/08/83;Recursos Humanos;Viúvo;R$5,824
Yetta;Barnes;Itajaí;Santa Catarina;09/08/49;Marketing;Viúvo;R$7,476
Shannon;Herring;Governador Valadares;MG;14/12/72;Financeiro;Viúvo;R$9,498
Kessie;Navarro;Novo Hamburgo;Rio Grande do Sul;15/08/01;Gerenciamento;Viúvo;R$6,512
Lester;Morse;Cascavel;Paraná;31/08/41;Recursos Humanos;Casado;R$8,339
Dawn;Wilcox;Camaçari;Bahia;28/02/58;Gerenciamento;Divorciado;R$7,568
Lucius;Malone;Blumenau;SC;07/11/64;Jurídico;Solteiro;R$9,089
Emma;Marquez;João Pessoa;Paraíba;15/06/31;Relações Públicas;Viúvo;R$9,713
Connor;Hodges;Olinda;PE;30/04/53;Serviço ao Cliente;Casado;R$9,127
Oprah;Carter;Aparecida de Goiânia;GO;14/11/93;Gerenciamento;Divorciado;R$5,026
Breanna;Melendez;Ribeirão das Neves;Minas Gerais;25/04/67;Marketing;Viúvo;R$8,233
Sonya;Delgado;Ribeirão Preto;SP;28/01/62;Vendas;Casado;R$7,906
Macy;Stephens;Divinópolis;MG;24/04/39;Relações Públicas;Solteiro;R$9,020
Ralph;Curry;Salvador;BA;13/09/52;Vendas;Solteiro;R$5,927
Brendan;Russo;Anápolis;GO;01/12/53;Suporte Técnico;Solteiro;R$7,702
Chaney;Wood;Juazeiro;Bahia;27/08/62;Gerenciamento;Viúvo;R$5,626
Guy;Booth;Florianópolis;SC;18/08/03;Jurídico;Divorciado;R$9,775
Montana;Horton;Ribeirão das Neves;MG;16/07/87;Vendas;Viúvo;R$6,409
Zephania;Cox;Cajazeiras;Paraíba;18/04/83;Suporte Técnico;Divorciado;R$9,594
Ifeoma;Freeman;Sobral;Ceará;22/10/03;Marketing;Divorciado;R$8,610
Guy;Santana;Ribeirão Preto;SP;10/09/52;Recursos Humanos;Solteiro;R$8,177
Adara;Marsh;Ribeirão das Neves;Minas Gerais;08/03/72;Suporte Técnico;Viúvo;R$7,131
Cooper;Baldwin;Maranguape;CE;10/10/97;Serviço ao Cliente;Casado;R$7,657
Quinn;Garrison;Olinda;Pernambuco;12/06/07;Relações Públicas;Divorciado;R$7,213
Farrah;Cain;Juazeiro;BA;28/04/65;Financeiro;Solteiro;R$6,306
Zahir;Mercer;Itabuna;Bahia;08/08/92;Financeiro;Casado;R$8,442
Melanie;Bell;Crato;CE;07/06/01;Vendas;Solteiro;R$6,120
Channing;Wheeler;Camaçari;Bahia;30/06/83;Vendas;Solteiro;R$6,731
Dominic;Bridges;Ribeirão Preto;SP;12/02/56;Gerenciamento;Viúvo;R$9,465
Jaden;Hancock;Camaçari;BA;21/04/31;Suporte Técnico;Solteiro;R$6,928
Ava;England;Gravataí;Rio Grande do Sul;28/10/67;Financeiro;Viúvo;R$8,012
Wynne;Hurley;Cabo de Santo Agostinho;Pernambuco;01/11/78;Pesquisa e Desenvolvimento;Divorciado;R$5,436
Lacota;Shepherd;Salvador;Bahia;15/05/69;Recursos Humanos;Divorciado;R$6,442
Ava;Berry;Ipatinga;Minas Gerais;25/11/99;Jurídico;Casado;R$8,817
Aimee;Patrick;Duque de Caxias;Rio de Janeiro;12/04/16;Recursos Humanos;Solteiro;R$7,525
Thaddeus;Dennis;Santa Maria;Rio Grande do Sul;25/09/43;Pesquisa e Desenvolvimento;Casado;R$5,252
Tara;Grimes;Belo Horizonte;Minas Gerais;23/04/11;Suporte Técnico;Solteiro;R$5,557
Idola;Hughes;Olinda;PE;26/06/62;Vendas;Viúvo;R$9,432
Gwendolyn;Carter;Campinas;SP;30/03/57;Gerenciamento;Casado;R$9,881
Daniel;Hartman;Governador Valadares;Minas Gerais;02/04/36;Recursos Humanos;Solteiro;R$6,467
Lewis;Bonner;Lauro de Freitas;BA;30/09/46;Serviço ao Cliente;Divorciado;R$5,350
Hamish;Kidd;Caucaia;Ceará;10/10/66;Recursos Humanos;Viúvo;R$5,497
Stone;Roth;Chapadinha;MA;10/04/07;Serviço ao Cliente;Casado;R$6,524
Talon;Combs;Olinda;PE;29/12/80;Financeiro;Divorciado;R$9,702
Cherokee;Mccarthy;Santa Maria;RS;24/10/44;Serviço ao Cliente;Divorciado;R$8,725
Paloma;West;Ribeirão das Neves;Minas Gerais;28/08/65;Relações Públicas;Solteiro;R$5,562
Priscilla;Holloway;Mauá;São Paulo;02/02/62;Vendas;Casado;R$9,752
